participant_id,cohort_year,survey_date,age_at_enrollment,grade_level,race_ethnicity,gender,high_school,title_1_school,family_income_range,household_size,first_generation_college,program_track,transportation_barrier,childcare_needs,act_composite_pre,act_english_pre,act_math_pre,act_reading_pre,act_science_pre,sat_total_pre,sat_math_pre,sat_verbal_pre,gpa_pre,college_readiness_self_rating,study_hours_per_week,career_confidence_rating,academic_support_at_home,technology_access,post_secondary_plan,act_composite_post,act_english_post,act_math_post,act_reading_post,act_science_post,sat_total_post,sat_math_post,sat_verbal_post,gpa_post,college_readiness_self_rating_post,study_hours_per_week_post,career_confidence_rating_post,post_secondary_enrollment,scholarship_received,scholarship_amount,program_satisfaction,would_recommend,act_improvement,sat_improvement,gpa_improvement,readiness_improvement,career_confidence_improvement
CYC2023002,2023,2024-10-09,17,11th,Hispanic/Latino,Female,Garinger High School,Yes,"$40,000-$59,999",5,No,College Prep,No,No,20,18,20,21,19,980,510,470,3.67,1,14,9,None,Limited access,Undecided,22,22,20,24,22,1030,530,500,4,5,14.477883524357953,10,Working,Yes,11800,4,Definitely,2,50,0.33000000000000007,4,1
CYC2023003,2023,2024-10-17,18,12th,Black or African American,Female,Mallard Creek High School,No,"$40,000-$59,999",2,Yes,Career Readiness,Yes,No,17,20,19,19,15,1070,550,520,2.22,5,0,2,Moderate,Limited access,Military,18,17,19,20,20,1150,520,630,2.4453587459906267,6,0.3470359754088861,5,Enrolled 4-year,Yes,6100,3,Definitely,1,80,0.22535874599062655,1,3
CYC2023004,2023,2024-08-01,17,11th,Hispanic/Latino,Female,Ardrey Kell High School,No,"$100,000+",3,Yes,Intensive Support,No,No,19,21,19,21,18,1150,550,600,1,1,7,1,Limited,Limited access,Community college,22,22,23,20,24,1220,570,650,1.2781062926627096,2,5.654059744408839,3,Trade program,No,NA,5,Definitely,3,70,0.2781062926627096,1,2
CYC2023009,2023,2024-07-21,16,11th,Multiracial,Male,Providence High School,Yes,"Under $25,000",6,Yes,Career Readiness,No,No,14,13,16,13,16,740,370,370,3.41,9,13,3,Strong,Good access,Community college,19,20,16,18,21,820,380,440,4,10,16.839936152410445,4,Trade program,Yes,2500,5,Probably,5,80,0.5899999999999999,1,1
CYC2023010,2023,2024-08-24,16,11th,Hispanic/Latino,Female,Ardrey Kell High School,No,"$25,000-$39,999",3,Yes,College Prep,Yes,Yes,17,18,17,20,16,950,480,470,2.84,7,7,8,Limited,Good access,Undecided,22,20,19,24,22,1000,460,540,3.584873579909746,10,8.468828033235088,10,Gap year,No,NA,4,Probably,5,50,0.7448735799097461,3,2
CYC2023011,2023,2024-09-06,15,9th,Other,Male,Independence High School,No,"Under $25,000",5,Yes,College Prep,No,N/A,18,21,17,16,19,760,360,400,2.56,2,9,1,Moderate,No reliable access,Community college,21,23,18,23,19,840,400,440,2.8113849587859603,5,11.800504625351447,4,Enrolled 4-year,Yes,9600,4,Definitely,3,80,0.25138495878596023,3,3
CYC2023012,2023,2024-08-20,17,11th,Black or African American,Female,Mallard Creek High School,Yes,"Under $25,000",1,Yes,Career Readiness,No,No,21,24,19,19,22,1280,630,650,1.53,9,13,4,Limited,No reliable access,Trade school,26,27,25,24,27,1320,660,660,1.9049671099402496,10,15.309496931866608,4,Military,No,NA,5,Definitely,5,40,0.3749671099402496,1,0
CYC2023013,2023,2024-09-16,17,12th,Hispanic/Latino,Male,Providence High School,Yes,"$25,000-$39,999",4,No,College Prep,Yes,No,12,10,11,14,13,840,380,460,3.57,2,8,5,Limited,Good access,4-year college,16,17,17,18,18,900,480,420,3.9136094976808686,3,12.659629166479913,8,Enrolled 4-year,No,NA,4,Maybe,4,60,0.3436094976808688,1,3
CYC2023014,2023,2024-09-01,18,12th,Black or African American,Male,Charlotte Catholic High School,Yes,"$40,000-$59,999",3,No,Intensive Support,No,No,17,16,15,15,17,860,460,400,2.95,1,11,6,Moderate,Limited access,Community college,19,18,19,19,21,940,450,490,3.1734280723503225,4,17.557634059082837,10,Enrolled 2-year,No,NA,5,Definitely,2,80,0.22342807235032236,3,4
CYC2023015,2023,2024-08-02,15,10th,White,Male,East Mecklenburg High School,Yes,"$60,000-$79,999",3,Yes,Intensive Support,No,No,21,23,20,21,22,1050,540,510,3.6,8,9,2,Limited,Limited access,4-year college,26,26,24,26,28,1180,580,600,3.5361262420412505,10,11.825809102097427,3,Enrolled 2-year,Yes,9100,4,Probably,5,130,-0.06387375795874961,2,1
