participant_id,cohort_year,survey_date,age_at_enrollment,grade_level,race_ethnicity,gender,high_school,title_1_school,family_income_range,household_size,first_generation_college,program_track,transportation_barrier,childcare_needs,act_composite_pre,act_english_pre,act_math_pre,act_reading_pre,act_science_pre,sat_total_pre,sat_math_pre,sat_verbal_pre,gpa_pre,college_readiness_self_rating,study_hours_per_week,career_confidence_rating,academic_support_at_home,technology_access,post_secondary_plan
CYC2023001,2023,2023-09-29,16,11th,Black or African American,Female,Ardrey Kell High School,No,"$40,000-$59,999",5,No,College Prep,No,N/A,25,28,25,25,23,1090,510,580,3.61,9,10,4,Moderate,No reliable access,4-year college
CYC2023002,2023,2023-09-26,17,11th,Hispanic/Latino,Female,Garinger High School,Yes,"$40,000-$59,999",5,No,College Prep,No,No,20,18,20,21,19,980,510,470,3.67,1,14,9,None,Limited access,Undecided
CYC2023003,2023,2023-09-27,18,12th,Black or African American,Female,Mallard Creek High School,No,"$40,000-$59,999",2,Yes,Career Readiness,Yes,No,17,20,19,19,15,1070,550,520,2.22,5,0,2,Moderate,Limited access,Military
CYC2023004,2023,2023-09-21,17,11th,Hispanic/Latino,Female,Ardrey Kell High School,No,"$100,000+",3,Yes,Intensive Support,No,No,19,21,19,21,18,1150,550,600,1,1,7,1,Limited,Limited access,Community college
CYC2023005,2023,2023-09-19,15,10th,Black or African American,Female,Mallard Creek High School,No,"$40,000-$59,999",3,Yes,College Prep,No,No,24,27,22,27,23,1010,520,490,3.97,7,11,4,Moderate,Good access,4-year college
CYC2023006,2023,2023-10-04,14,9th,Black or African American,Male,Hopewell High School,Yes,"Under $25,000",5,No,College Prep,No,Yes,23,23,24,23,22,400,200,200,2.34,1,6,6,None,No reliable access,Community college
CYC2023007,2023,2023-10-16,18,12th,Black or African American,Male,East Mecklenburg High School,No,"$25,000-$39,999",4,No,Dual Track,No,No,15,17,16,17,15,920,500,420,2.8,3,14,2,Limited,Limited access,Work
CYC2023008,2023,2023-10-05,17,12th,Hispanic/Latino,Female,Mallard Creek High School,No,"$25,000-$39,999",3,No,College Prep,Yes,No,16,19,14,15,14,1080,590,490,1.54,10,8,5,Moderate,No reliable access,4-year college
CYC2023009,2023,2023-09-05,16,11th,Multiracial,Male,Providence High School,Yes,"Under $25,000",6,Yes,Career Readiness,No,No,14,13,16,13,16,740,370,370,3.41,9,13,3,Strong,Good access,Community college
CYC2023010,2023,2023-10-16,16,11th,Hispanic/Latino,Female,Ardrey Kell High School,No,"$25,000-$39,999",3,Yes,College Prep,Yes,Yes,17,18,17,20,16,950,480,470,2.84,7,7,8,Limited,Good access,Undecided
CYC2023011,2023,2023-09-19,15,9th,Other,Male,Independence High School,No,"Under $25,000",5,Yes,College Prep,No,N/A,18,21,17,16,19,760,360,400,2.56,2,9,1,Moderate,No reliable access,Community college
CYC2023012,2023,2023-09-10,17,11th,Black or African American,Female,Mallard Creek High School,Yes,"Under $25,000",1,Yes,Career Readiness,No,No,21,24,19,19,22,1280,630,650,1.53,9,13,4,Limited,No reliable access,Trade school
CYC2023013,2023,2023-10-19,17,12th,Hispanic/Latino,Male,Providence High School,Yes,"$25,000-$39,999",4,No,College Prep,Yes,No,12,10,11,14,13,840,380,460,3.57,2,8,5,Limited,Good access,4-year college
CYC2023014,2023,2023-09-05,18,12th,Black or African American,Male,Charlotte Catholic High School,Yes,"$40,000-$59,999",3,No,Intensive Support,No,No,17,16,15,15,17,860,460,400,2.95,1,11,6,Moderate,Limited access,Community college
CYC2023015,2023,2023-09-27,15,10th,White,Male,East Mecklenburg High School,Yes,"$60,000-$79,999",3,Yes,Intensive Support,No,No,21,23,20,21,22,1050,540,510,3.6,8,9,2,Limited,Limited access,4-year college
CYC2023016,2023,2023-10-01,17,12th,Black or African American,Male,Providence High School,Yes,"$60,000-$79,999",3,Yes,College Prep,No,N/A,21,23,21,21,21,1320,630,690,2.94,3,1,1,Strong,Good access,Community college
CYC2023017,2023,2023-10-05,18,12th,Hispanic/Latino,Male,Garinger High School,Yes,"$80,000-$99,999",2,Yes,College Prep,Yes,N/A,17,19,17,16,18,1110,600,510,1.77,5,4,2,Limited,No reliable access,4-year college
CYC2023018,2023,2023-09-07,17,12th,Multiracial,Female,Ardrey Kell High School,Yes,"Under $25,000",6,Yes,College Prep,No,N/A,26,25,25,24,24,860,400,460,3.89,4,8,1,Limited,Limited access,4-year college
CYC2023019,2023,2023-10-14,15,10th,Black or African American,Male,Mallard Creek High School,Yes,"$25,000-$39,999",5,Yes,College Prep,No,Yes,16,17,12,17,19,730,350,380,2.32,5,13,7,None,Limited access,Trade school
CYC2023020,2023,2023-10-21,14,9th,Black or African American,Female,Ardrey Kell High School,Yes,"$40,000-$59,999",5,Unknown,College Prep,No,No,21,21,21,23,20,870,440,430,2.66,1,0,4,Moderate,Limited access,Community college
CYC2023021,2023,2023-09-19,15,9th,Black or African American,Female,Ardrey Kell High School,No,"$40,000-$59,999",3,Yes,Career Readiness,No,No,21,19,19,20,22,830,400,430,2.42,3,4,7,Limited,Good access,Community college
CYC2023022,2023,2023-09-08,16,10th,Black or African American,Male,Harding University High School,No,"Under $25,000",4,Yes,College Prep,No,Yes,17,15,19,20,19,690,340,350,3.3,3,5,2,Moderate,Limited access,Community college
CYC2023023,2023,2023-09-03,14,9th,Hispanic/Latino,Male,Garinger High School,Yes,"$40,000-$59,999",3,No,Career Readiness,No,No,22,20,24,20,22,1230,590,640,1,3,16,1,Limited,Limited access,Trade school
CYC2023024,2023,2023-08-28,17,11th,Asian,Male,North Mecklenburg High School,Yes,"$40,000-$59,999",3,No,Intensive Support,Yes,N/A,19,20,16,21,22,1010,550,460,1.54,3,1,1,Moderate,No reliable access,4-year college
CYC2023025,2023,2023-09-01,17,12th,Black or African American,Female,Charlotte Catholic High School,Yes,"$40,000-$59,999",2,Yes,College Prep,Yes,Yes,31,28,27,32,33,690,380,310,2.91,8,3,8,Moderate,Good access,4-year college
CYC2023026,2023,2023-08-23,16,11th,Hispanic/Latino,Female,Providence High School,Yes,"$40,000-$59,999",1,Yes,Career Readiness,No,No,21,18,20,23,24,860,460,400,2.7,1,7,6,Limited,Good access,4-year college
CYC2023027,2023,2023-10-07,18,12th,White,Female,Hopewell High School,No,"$60,000-$79,999",5,No,Dual Track,No,No,15,13,15,17,18,1120,530,590,1.41,3,12,3,None,Good access,4-year college
CYC2023028,2023,2023-09-06,17,12th,Black or African American,Female,Julius Chambers High School,Yes,"$40,000-$59,999",1,No,College Prep,No,No,17,15,14,17,18,1100,580,520,2.88,6,0,6,Strong,Limited access,Work
CYC2023029,2023,2023-09-10,17,11th,Black or African American,Male,Harding University High School,Yes,"Under $25,000",1,Yes,Dual Track,No,No,10,11,10,10,10,1390,670,720,1.75,7,2,6,Limited,Limited access,Trade school
CYC2023030,2023,2023-08-31,18,12th,Black or African American,Female,Providence High School,No,"Under $25,000",2,Yes,College Prep,No,N/A,18,21,19,16,20,810,420,390,2.93,8,10,5,Limited,Good access,4-year college
CYC2023031,2023,2023-10-06,18,12th,Black or African American,Male,East Mecklenburg High School,Yes,"Under $25,000",5,Yes,Intensive Support,Yes,N/A,19,17,18,18,21,1040,470,570,3.95,7,1,10,Moderate,No reliable access,Undecided
CYC2023032,2023,2023-08-25,16,10th,White,Female,Independence High School,Yes,"Under $25,000",6,Yes,Career Readiness,Yes,No,25,23,24,28,27,1200,550,650,2.93,2,6,5,Limited,Limited access,4-year college
CYC2023033,2023,2023-10-09,18,12th,White,Female,Providence High School,Yes,"$100,000+",2,Yes,College Prep,Yes,No,24,23,21,27,22,1410,680,730,1.61,6,12,5,Strong,Good access,4-year college
CYC2023034,2023,2023-09-13,17,12th,Hispanic/Latino,Female,Olympic High School,No,"Under $25,000",6,No,College Prep,No,No,19,20,15,21,16,890,450,440,2.78,4,18,4,Limited,No reliable access,Community college
CYC2023035,2023,2023-09-18,17,12th,Hispanic/Latino,Female,Hopewell High School,No,"$25,000-$39,999",5,No,Career Readiness,No,No,23,25,22,25,24,850,430,420,2.33,3,8,6,Moderate,Limited access,4-year college
CYC2023036,2023,2023-10-13,15,10th,Asian,Male,South Mecklenburg High School,Yes,"$100,000+",3,No,College Prep,No,No,17,14,14,18,19,820,430,390,2.9,9,8,2,Limited,Limited access,4-year college
CYC2023037,2023,2023-09-29,17,11th,Black or African American,Male,Mallard Creek High School,No,"Under $25,000",1,Yes,Dual Track,No,N/A,17,19,16,18,19,1090,490,600,1.93,10,17,1,Strong,No reliable access,4-year college
CYC2023038,2023,2023-10-08,16,11th,Black or African American,Male,Myers Park High School,No,"$60,000-$79,999",6,Yes,College Prep,Yes,N/A,15,18,14,17,13,1100,540,560,1.98,7,10,4,Limited,Limited access,4-year college
CYC2023039,2023,2023-10-25,14,9th,Black or African American,Female,Olympic High School,Yes,"Under $25,000",7,Yes,College Prep,Yes,No,26,26,25,26,26,690,330,360,1.52,2,10,5,Limited,No reliable access,Undecided
CYC2023040,2023,2023-10-14,18,12th,Black or African American,Female,Independence High School,Yes,"Under $25,000",5,Yes,College Prep,Yes,N/A,16,17,12,19,13,1120,550,570,1.45,8,15,6,Limited,Good access,4-year college
CYC2023041,2023,2023-10-15,18,12th,Black or African American,Male,West Charlotte High School,No,"$40,000-$59,999",4,Yes,Dual Track,Yes,No,14,15,15,15,16,1240,620,620,2.95,6,3,5,Moderate,Limited access,Work
CYC2023042,2023,2023-10-02,16,11th,Black or African American,Female,Harding University High School,Yes,"Under $25,000",1,Yes,Dual Track,No,No,19,18,19,23,21,630,300,330,3.95,1,15,3,Moderate,Limited access,Military
CYC2023043,2023,2023-08-23,16,11th,Multiracial,Female,Rocky River High School,No,"$40,000-$59,999",5,Yes,College Prep,No,No,22,19,20,22,24,770,420,350,1.86,8,2,3,Strong,Limited access,4-year college
CYC2023044,2023,2023-08-27,18,12th,Asian,Female,North Mecklenburg High School,Yes,"$80,000-$99,999",5,No,College Prep,Yes,No,19,22,15,17,17,1100,520,580,1.87,2,5,2,Moderate,No reliable access,Trade school
CYC2023045,2023,2023-10-06,16,11th,White,Female,Harding University High School,No,"$25,000-$39,999",5,Yes,Career Readiness,No,Yes,22,25,23,23,24,810,410,400,3.09,3,12,5,Moderate,Limited access,Undecided
CYC2023046,2023,2023-09-05,16,11th,Multiracial,Male,South Mecklenburg High School,Yes,"Under $25,000",1,Yes,Intensive Support,Yes,Yes,14,13,10,15,15,660,350,310,2.8,7,0,1,Limited,Good access,4-year college
CYC2023047,2023,2023-08-18,15,10th,White,Female,Providence High School,No,"Under $25,000",5,Yes,College Prep,No,Yes,10,12,10,12,11,1250,580,670,3.42,7,13,6,Limited,Good access,Work
CYC2023048,2023,2023-09-26,16,11th,White,Female,Rocky River High School,No,"$25,000-$39,999",8,Yes,Dual Track,Yes,No,15,12,12,15,16,1150,590,560,2.52,6,6,5,Strong,Limited access,Work
CYC2023049,2023,2023-09-09,18,12th,Native American,Female,Harding University High School,Yes,"Under $25,000",1,Yes,College Prep,No,No,11,9,8,10,13,440,210,230,3.03,3,10,1,Moderate,Good access,Work
CYC2023050,2023,2023-10-05,16,11th,Black or African American,Female,Charlotte Catholic High School,Yes,"Under $25,000",4,Yes,College Prep,No,No,27,30,24,30,30,1060,530,530,2.67,8,3,5,Moderate,Limited access,Trade school
CYC2023051,2023,2023-10-01,18,12th,Black or African American,Female,Ardrey Kell High School,Yes,"$40,000-$59,999",4,Yes,Intensive Support,Yes,No,17,20,14,18,14,810,400,410,2.59,10,4,3,Limited,No reliable access,4-year college
CYC2023052,2023,2023-09-10,18,12th,Hispanic/Latino,Male,Independence High School,Yes,"$100,000+",3,Yes,College Prep,No,No,14,17,10,17,11,550,270,280,2.46,8,9,2,Strong,Limited access,Community college
CYC2023053,2023,2023-09-29,14,9th,Hispanic/Latino,Male,Julius Chambers High School,No,"$25,000-$39,999",2,Yes,Intensive Support,Yes,No,10,11,12,11,13,980,450,530,4,6,11,2,Limited,Limited access,Community college
CYC2023054,2023,2023-09-15,16,11th,Asian,Male,East Mecklenburg High School,No,"Under $25,000",1,Yes,College Prep,No,No,15,13,15,14,16,780,390,390,2.91,2,10,2,Moderate,Good access,Community college
CYC2023055,2023,2023-09-27,16,11th,Black or African American,Female,Vance High School,Yes,"$80,000-$99,999",2,Yes,Dual Track,No,Yes,18,16,15,16,17,1200,620,580,1.68,10,7,8,Moderate,No reliable access,4-year college
CYC2023056,2023,2023-09-19,18,12th,Hispanic/Latino,Male,Hopewell High School,Yes,"$25,000-$39,999",2,Yes,College Prep,No,No,20,18,19,22,20,1060,540,520,1.66,1,1,1,Moderate,Limited access,Community college
CYC2023057,2023,2023-10-09,16,11th,White,Male,Rocky River High School,No,"$25,000-$39,999",2,No,College Prep,No,No,18,20,18,18,16,1410,650,760,2.95,2,8,4,None,Good access,4-year college
CYC2023058,2023,2023-10-05,15,10th,Black or African American,Female,Independence High School,No,"$40,000-$59,999",3,No,Dual Track,No,No,10,10,6,12,7,1040,530,510,3.61,4,7,2,Limited,No reliable access,4-year college
CYC2023059,2023,2023-10-04,16,10th,White,Female,North Mecklenburg High School,Yes,"$60,000-$79,999",4,Yes,Dual Track,Yes,No,27,27,27,26,27,990,510,480,2.95,9,7,4,Limited,No reliable access,Trade school
CYC2023060,2023,2023-10-01,17,11th,Other,Female,Garinger High School,No,"Under $25,000",3,No,Dual Track,Yes,No,15,15,16,14,14,1090,550,540,1.82,10,9,6,Moderate,Good access,Community college
CYC2023061,2023,2023-09-24,16,11th,Black or African American,Female,Butler High School,Yes,"Under $25,000",2,No,College Prep,No,Yes,19,21,21,20,16,950,510,440,2.82,4,4,4,Limited,Good access,Trade school
CYC2023062,2023,2023-09-30,15,10th,White,Female,South Mecklenburg High School,No,"Under $25,000",3,Unknown,Dual Track,No,Yes,15,16,14,17,17,810,390,420,2.84,7,7,3,Strong,Limited access,4-year college
CYC2023063,2023,2023-09-20,18,12th,Hispanic/Latino,Female,Harding University High School,Yes,"$40,000-$59,999",2,No,Career Readiness,No,No,18,20,20,17,20,1090,570,520,3.97,7,5,3,Limited,Good access,4-year college
CYC2023064,2023,2023-10-01,18,12th,Black or African American,Female,Ardrey Kell High School,No,"$40,000-$59,999",3,Yes,Dual Track,Yes,No,12,11,10,14,10,930,420,510,1.48,8,1,1,Limited,Limited access,Community college
CYC2023065,2023,2023-10-20,18,12th,Black or African American,Male,Garinger High School,No,"$60,000-$79,999",3,Yes,Dual Track,No,N/A,21,20,18,23,21,880,400,480,2.5,8,5,4,Strong,Limited access,Community college
