participant_id,cohort_year,enrollment_date,age_at_enrollment,grade_level,race_ethnicity,gender,high_school,title_1_school,family_income_range,household_size,first_generation_college,program_track,transportation_barrier,childcare_needs
CYC2023001,2023,2023-09-16,16,11th,Black or African American,Female,Ardrey Kell High School,No,"$40,000-$59,999",5,No,College Prep,No,N/A
CYC2023002,2023,2023-09-22,17,11th,Hispanic/Latino,Female,Garinger High School,Yes,"$40,000-$59,999",5,No,College Prep,No,No
CYC2023003,2023,2023-09-27,18,12th,Black or African American,Female,Mallard Creek High School,No,"$40,000-$59,999",2,Yes,Career Readiness,Yes,No
CYC2023004,2023,2023-09-12,17,11th,Hispanic/Latino,Female,Ardrey Kell High School,No,"$100,000+",3,Yes,Intensive Support,No,No
CYC2023005,2023,2023-09-18,15,10th,Black or African American,Female,Mallard Creek High School,No,"$40,000-$59,999",3,Yes,College Prep,No,No
CYC2023006,2023,2023-09-27,14,9th,Black or African American,Male,Hopewell High School,Yes,"Under $25,000",5,No,College Prep,No,Yes
CYC2023007,2023,2023-10-06,18,12th,Black or African American,Male,East Mecklenburg High School,No,"$25,000-$39,999",4,No,Dual Track,No,No
CYC2023008,2023,2023-09-30,17,12th,Hispanic/Latino,Female,Mallard Creek High School,No,"$25,000-$39,999",3,No,College Prep,Yes,No
CYC2023009,2023,2023-09-04,16,11th,Multiracial,Male,Providence High School,Yes,"Under $25,000",6,Yes,Career Readiness,No,No
CYC2023010,2023,2023-10-02,16,11th,Hispanic/Latino,Female,Ardrey Kell High School,No,"$25,000-$39,999",3,Yes,College Prep,Yes,Yes
CYC2023011,2023,2023-09-15,15,9th,Other,Male,Independence High School,No,"Under $25,000",5,Yes,College Prep,No,N/A
CYC2023012,2023,2023-09-07,17,11th,Black or African American,Female,Mallard Creek High School,Yes,"Under $25,000",1,Yes,Career Readiness,No,No
CYC2023013,2023,2023-10-08,17,12th,Hispanic/Latino,Male,Providence High School,Yes,"$25,000-$39,999",4,No,College Prep,Yes,No
CYC2023014,2023,2023-09-05,18,12th,Black or African American,Male,Charlotte Catholic High School,Yes,"$40,000-$59,999",3,No,Intensive Support,No,No
CYC2023015,2023,2023-09-20,15,10th,White,Male,East Mecklenburg High School,Yes,"$60,000-$79,999",3,Yes,Intensive Support,No,No
CYC2023016,2023,2023-09-23,17,12th,Black or African American,Male,Providence High School,Yes,"$60,000-$79,999",3,Yes,College Prep,No,N/A
CYC2023017,2023,2023-09-22,18,12th,Hispanic/Latino,Male,Garinger High School,Yes,"$80,000-$99,999",2,Yes,College Prep,Yes,N/A
CYC2023018,2023,2023-08-30,17,12th,Multiracial,Female,Ardrey Kell High School,Yes,"Under $25,000",6,Yes,College Prep,No,N/A
CYC2023019,2023,2023-10-02,15,10th,Black or African American,Male,Mallard Creek High School,Yes,"$25,000-$39,999",5,Yes,College Prep,No,Yes
CYC2023020,2023,2023-10-12,14,9th,Black or African American,Female,Ardrey Kell High School,Yes,"$40,000-$59,999",5,Unknown,College Prep,No,No
CYC2023021,2023,2023-09-11,15,9th,Black or African American,Female,Ardrey Kell High School,No,"$40,000-$59,999",3,Yes,Career Readiness,No,No
CYC2023022,2023,2023-09-04,16,10th,Black or African American,Male,Harding University High School,No,"Under $25,000",4,Yes,College Prep,No,Yes
CYC2023023,2023,2023-08-24,14,9th,Hispanic/Latino,Male,Garinger High School,Yes,"$40,000-$59,999",3,No,Career Readiness,No,No
CYC2023024,2023,2023-08-28,17,11th,Asian,Male,North Mecklenburg High School,Yes,"$40,000-$59,999",3,No,Intensive Support,Yes,N/A
CYC2023025,2023,2023-09-01,17,12th,Black or African American,Female,Charlotte Catholic High School,Yes,"$40,000-$59,999",2,Yes,College Prep,Yes,Yes
CYC2023026,2023,2023-08-18,16,11th,Hispanic/Latino,Female,Providence High School,Yes,"$40,000-$59,999",1,Yes,Career Readiness,No,No
CYC2023027,2023,2023-10-02,18,12th,White,Female,Hopewell High School,No,"$60,000-$79,999",5,No,Dual Track,No,No
CYC2023028,2023,2023-09-06,17,12th,Black or African American,Female,Julius Chambers High School,Yes,"$40,000-$59,999",1,No,College Prep,No,No
CYC2023029,2023,2023-09-04,17,11th,Black or African American,Male,Harding University High School,Yes,"Under $25,000",1,Yes,Dual Track,No,No
CYC2023030,2023,2023-08-24,18,12th,Black or African American,Female,Providence High School,No,"Under $25,000",2,Yes,College Prep,No,N/A
CYC2023031,2023,2023-09-27,18,12th,Black or African American,Male,East Mecklenburg High School,Yes,"Under $25,000",5,Yes,Intensive Support,Yes,N/A
CYC2023032,2023,2023-08-21,16,10th,White,Female,Independence High School,Yes,"Under $25,000",6,Yes,Career Readiness,Yes,No
CYC2023033,2023,2023-10-08,18,12th,White,Female,Providence High School,Yes,"$100,000+",2,Yes,College Prep,Yes,No
