participant_id,cohort_year,enrollment_date,age_at_enrollment,grade_level,race_ethnicity,gender,high_school,title_1_school,family_income_range,household_size,first_generation_college,program_track,transportation_barrier,childcare_needs
CYC2019001,2019,2019-08-15,16,11th,Multiracial,Female,East Mecklenburg High School,Yes,"Under $25,000",7,Yes,College Prep,No,No
CYC2019002,2019,2019-09-08,14,9th,Hispanic/Latino,Female,Vance High School,Yes,"Under $25,000",2,Yes,Career Readiness,Yes,No
CYC2019003,2019,2019-08-24,16,11th,White,Female,Harding University High School,Yes,"$40,000-$59,999",1,Yes,Career Readiness,No,No
CYC2019004,2019,2019-09-19,18,12th,Black or African American,Male,Rocky River High School,Yes,"Under $25,000",7,Yes,College Prep,Yes,N/A
CYC2019005,2019,2019-09-01,16,11th,Multiracial,Male,Rocky River High School,No,"Under $25,000",7,Yes,Dual Track,Yes,No
CYC2019006,2019,2019-10-11,17,12th,Black or African American,Male,Garinger High School,Yes,"$40,000-$59,999",2,Yes,Career Readiness,No,N/A
CYC2019007,2019,2019-10-02,17,11th,White,Male,South Mecklenburg High School,Yes,"$25,000-$39,999",3,Yes,College Prep,No,No
CYC2019008,2019,2019-09-30,17,12th,Hispanic/Latino,Female,North Mecklenburg High School,No,"$25,000-$39,999",3,Yes,Career Readiness,No,No
CYC2019009,2019,2019-09-07,16,11th,Black or African American,Female,South Mecklenburg High School,No,"$25,000-$39,999",4,Yes,Dual Track,No,Yes
CYC2019010,2019,2019-08-21,17,12th,Hispanic/Latino,Male,North Mecklenburg High School,Yes,"$40,000-$59,999",3,Yes,Career Readiness,No,N/A
CYC2019011,2019,2019-09-19,16,11th,Hispanic/Latino,Female,Providence High School,Yes,"$40,000-$59,999",7,Yes,College Prep,No,N/A
CYC2019012,2019,2019-09-08,17,12th,Black or African American,Female,North Mecklenburg High School,Yes,"$25,000-$39,999",5,Yes,Career Readiness,No,No
CYC2019013,2019,2019-09-20,14,9th,Multiracial,Female,East Mecklenburg High School,No,"Under $25,000",6,Unknown,Career Readiness,No,No
CYC2019014,2019,2019-09-29,18,12th,Hispanic/Latino,Female,East Mecklenburg High School,No,"$40,000-$59,999",3,No,Career Readiness,Yes,No
CYC2019015,2019,2019-09-03,17,12th,Black or African American,Female,Charlotte Catholic High School,No,"$60,000-$79,999",6,Yes,Career Readiness,Yes,No
CYC2019016,2019,2019-09-09,18,12th,White,Male,Garinger High School,Yes,"$40,000-$59,999",2,Yes,Career Readiness,No,N/A
