participant_id,cohort_year,session_week,session_date,session_type,attended,hours_participated,tutor_assigned
CYC2020001,2020,1,2020-09-11,Test Prep,Present,2.5,TUTOR11
CYC2020001,2020,2,2020-09-18,Tutoring,Present,2,TUTOR10
CYC2020001,2020,3,2020-09-25,Financial Literacy,Present,2.5,TUTOR11
CYC2020001,2020,4,2020-10-02,Study Skills,Present,2.5,TUTOR12
CYC2020001,2020,5,2020-10-09,Leadership,Present,2,TUTOR11
CYC2020001,2020,6,2020-10-16,Tutoring,Present,2,TUTOR09
CYC2020001,2020,7,2020-10-23,Tutoring,Absent,0,TUTOR09
CYC2020001,2020,8,2020-10-30,Leadership,Present,1.5,TUTOR10
CYC2020001,2020,9,2020-11-06,Career Exploration,Present,2.5,TUTOR05
CYC2020001,2020,10,2020-11-13,Test Prep,Excused,0,TUTOR08
CYC2020001,2020,11,2020-11-20,Test Prep,Absent,0,TUTOR08
CYC2020001,2020,12,2020-11-27,Career Exploration,Present,2.5,TUTOR04
CYC2020001,2020,13,2020-12-04,Leadership,Present,3,TUTOR02
CYC2020001,2020,14,2020-12-11,Test Prep,Present,2,TUTOR02
CYC2020001,2020,15,2020-12-18,Tutoring,Present,2,TUTOR12
CYC2020001,2020,16,2020-12-25,Study Skills,Present,1.5,TUTOR06
CYC2020001,2020,17,2021-01-01,Career Exploration,Present,2,TUTOR07
CYC2020001,2020,18,2021-01-08,Tutoring,Absent,0,TUTOR05
CYC2020001,2020,19,2021-01-15,Tutoring,Present,3,TUTOR02
CYC2020001,2020,20,2021-01-22,Study Skills,Absent,0,TUTOR06
CYC2020001,2020,21,2021-01-29,Test Prep,Present,1.5,TUTOR05
CYC2020001,2020,22,2021-02-05,Career Exploration,Present,2.5,TUTOR11
CYC2020001,2020,23,2021-02-12,Leadership,Absent,0,TUTOR01
CYC2020001,2020,24,2021-02-19,Financial Literacy,Present,2,TUTOR04
CYC2020001,2020,25,2021-02-26,College Planning,Absent,0,TUTOR07
CYC2020001,2020,26,2021-03-05,Tutoring,Present,2.5,TUTOR01
CYC2020001,2020,27,2021-03-12,Tutoring,Present,2,TUTOR01
CYC2020001,2020,28,2021-03-19,College Planning,Present,2.5,TUTOR12
CYC2020001,2020,29,2021-03-26,Leadership,Absent,0,TUTOR05
CYC2020001,2020,30,2021-04-02,Financial Literacy,Present,2,TUTOR03
CYC2020002,2020,1,2020-10-07,Career Exploration,Present,2,TUTOR02
CYC2020002,2020,2,2020-10-14,Career Exploration,Excused,0,TUTOR01
CYC2020002,2020,3,2020-10-21,Financial Literacy,Present,2,TUTOR02
CYC2020002,2020,4,2020-10-28,Test Prep,Excused,0,TUTOR12
