participant_id,cohort_year,survey_date,age_at_enrollment,grade_level,race_ethnicity,gender,high_school,title_1_school,family_income_range,household_size,first_generation_college,program_track,transportation_barrier,childcare_needs,act_composite_pre,act_english_pre,act_math_pre,act_reading_pre,act_science_pre,sat_total_pre,sat_math_pre,sat_verbal_pre,gpa_pre,college_readiness_self_rating,study_hours_per_week,career_confidence_rating,academic_support_at_home,technology_access,post_secondary_plan,act_composite_post,act_english_post,act_math_post,act_reading_post,act_science_post,sat_total_post,sat_math_post,sat_verbal_post,gpa_post,college_readiness_self_rating_post,study_hours_per_week_post,career_confidence_rating_post,post_secondary_enrollment,scholarship_received,scholarship_amount,program_satisfaction,would_recommend,act_improvement,sat_improvement,gpa_improvement,readiness_improvement,career_confidence_improvement
CYC2021001,2021,2022-10-18,17,12th,Black or African American,Female,North Mecklenburg High School,Yes,"$80,000-$99,999",2,Yes,Dual Track,No,Yes,16,19,16,20,16,670,310,360,3.27,4,12,2,Limited,Good access,4-year college,20,21,22,22,18,720,380,340,3.351569768937084,6,12.934376451766846,5,Enrolled 4-year,No,NA,4,Probably Not,4,50,0.08156976893708379,2,3
CYC2021002,2021,2022-08-26,18,12th,Black or African American,Male,Garinger High School,Yes,"$100,000+",5,Yes,Dual Track,Yes,N/A,16,14,15,14,18,1090,550,540,1.44,10,13,6,Limited,Good access,Community college,18,19,19,20,18,1180,590,590,1.5499309505059597,10,11.982468896074211,7,Enrolled 2-year,No,NA,4,Definitely,2,90,0.1099309505059598,0,1
CYC2021003,2021,2022-07-06,15,10th,Black or African American,Male,Vance High School,Yes,"$25,000-$39,999",7,Yes,Intensive Support,No,Yes,17,17,14,17,14,910,450,460,2.44,5,6,4,Moderate,Limited access,Community college,17,15,18,16,17,1100,560,540,2.4366763534017006,4,7.712281219124733,5,Enrolled 4-year,No,NA,5,Maybe,0,190,-0.0033236465982993124,-1,1
CYC2021004,2021,2022-08-22,15,10th,Black or African American,Female,Olympic High School,Yes,"$25,000-$39,999",4,Yes,College Prep,Yes,No,13,16,9,12,15,1010,500,510,1.73,1,12,1,Limited,No reliable access,Community college,18,17,15,16,16,1090,590,500,2.7640842862309034,4,14.590719771297966,1,Enrolled 4-year,No,NA,4,Definitely,5,80,1.0340842862309034,3,0
CYC2021005,2021,2022-10-02,18,12th,Hispanic/Latino,Male,Garinger High School,No,"$25,000-$39,999",6,Yes,Career Readiness,Yes,No,14,14,14,13,17,1140,590,550,2.68,3,0,2,None,Good access,Community college,17,16,14,15,18,1230,560,670,3.487098317804413,5,4.421782453321412,4,Enrolled 4-year,No,NA,5,Maybe,3,90,0.8070983178044129,2,2
CYC2021006,2021,2022-09-03,18,12th,Black or African American,Male,West Charlotte High School,No,"Under $25,000",3,Yes,Intensive Support,Yes,No,27,30,27,28,30,870,400,470,2.07,3,13,10,Moderate,Good access,4-year college,31,33,29,30,33,890,410,480,2.5593409930071163,5,14.34839482673517,10,Trade program,Yes,12000,4,Maybe,4,20,0.4893409930071164,2,0
CYC2021007,2021,2022-08-16,17,11th,Asian,Non-binary,Julius Chambers High School,Yes,"Under $25,000",6,Yes,College Prep,Yes,No,17,17,19,20,17,1030,560,470,2.17,10,8,2,Limited,Good access,Community college,19,20,20,22,18,1080,540,540,2.4319853985456805,10,11.054083638421972,4,Enrolled 2-year,No,NA,5,Definitely,2,50,0.2619853985456806,0,2
CYC2021008,2021,2022-09-26,18,12th,Hispanic/Latino,Male,West Charlotte High School,Yes,"$40,000-$59,999",7,No,College Prep,No,N/A,27,30,29,30,28,1020,480,540,2.46,8,0,5,Limited,Limited access,4-year college,28,29,25,28,26,1080,590,490,3.4193534446018066,9,3.435245943001596,9,Enrolled 2-year,Yes,13100,5,Definitely,1,60,0.9593534446018066,1,4
CYC2021009,2021,2022-08-15,18,12th,Hispanic/Latino,Female,Independence High School,Yes,"$25,000-$39,999",3,Unknown,College Prep,No,No,16,18,13,20,17,900,450,450,3.04,5,14,9,Strong,Good access,Community college,19,20,20,20,21,930,500,430,3.207386581860865,9,16.121129373000755,10,Enrolled 4-year,No,NA,5,Maybe,3,30,0.16738658186086486,4,1
CYC2021014,2021,2022-10-06,18,12th,Black or African American,Female,Charlotte Catholic High School,Yes,"$25,000-$39,999",7,Yes,Intensive Support,Yes,No,26,24,24,25,27,460,230,230,1.55,2,0,3,Limited,Limited access,Work,30,28,29,28,32,500,250,250,1.6119520609590694,5,3.4475869886363837,4,Enrolled 4-year,Yes,10100,4,Definitely,4,40,0.061952060959069355,3,1
CYC2021015,2021,2022-09-12,15,10th,Hispanic/Latino,Female,Harding University High School,No,"Under $25,000",3,Yes,Career Readiness,No,N/A,10,7,12,9,13,1080,570,510,4,6,7,4,Moderate,No reliable access,Community college,12,12,10,13,10,1160,540,620,4,6,13.58795190848476,8,Enrolled 4-year,Yes,11800,5,Definitely,2,80,0,0,4
CYC2021017,2021,2022-09-09,16,10th,Black or African American,Female,Harding University High School,Yes,"$40,000-$59,999",6,Yes,Career Readiness,No,N/A,15,16,13,19,17,1130,520,610,1.27,7,0,2,Limited,Good access,Work,17,18,18,19,19,1180,550,630,1.7347078565419967,10,5.078392896115465,4,Enrolled 2-year,Yes,12900,3,Definitely,2,50,0.46470785654199664,3,2
CYC2021018,2021,2022-11-01,16,11th,Black or African American,Female,Julius Chambers High School,Yes,"Under $25,000",3,Yes,Career Readiness,No,N/A,17,16,17,15,14,880,450,430,2.95,2,6,5,Moderate,Good access,Military,21,20,23,22,21,1000,530,470,3.222180539800731,1,10.31894962364385,9,Gap year,Yes,10100,4,Definitely,4,120,0.27218053980073087,-1,4
CYC2021019,2021,2022-09-27,18,12th,Black or African American,Female,Ardrey Kell High School,Yes,"$60,000-$79,999",2,Yes,Dual Track,No,N/A,16,19,13,16,16,980,500,480,1.54,6,0,8,Limited,Limited access,Military,16,14,13,14,14,1150,530,620,1.9912900419933515,8,0.8654750513789482,10,Enrolled 4-year,No,NA,5,Definitely,0,170,0.45129004199335143,2,2
CYC2021020,2021,2022-07-31,14,9th,White,Female,Garinger High School,No,"$25,000-$39,999",2,No,Career Readiness,No,No,16,14,15,17,17,1030,540,490,3.51,4,7,3,Limited,Limited access,4-year college,21,20,22,21,23,1120,560,560,4,8,8.336188090489127,4,Enrolled 4-year,No,NA,5,Definitely,5,90,0.4900000000000002,4,1
CYC2021021,2021,2022-08-09,15,9th,Multiracial,Female,North Mecklenburg High School,No,"$60,000-$79,999",5,Yes,College Prep,No,N/A,26,24,22,27,25,1140,560,580,1.18,9,11,3,Limited,Limited access,Military,28,27,28,29,28,1220,620,600,1.2310419184226955,10,13.117490419635846,5,Gap year,No,NA,4,Definitely,2,80,0.051041918422695565,1,2
CYC2021022,2021,2022-09-19,14,9th,Asian,Female,South Mecklenburg High School,No,"Under $25,000",1,Yes,College Prep,No,No,23,25,23,26,20,900,470,430,3.02,6,9,5,Limited,Good access,Trade school,24,25,24,23,26,1050,490,560,3.430534718106314,7,14.035057126956296,6,Enrolled 4-year,Yes,7200,3,Definitely,1,150,0.41053471810631414,1,1
CYC2021023,2021,2022-10-03,18,12th,Black or African American,Female,South Mecklenburg High School,No,"$60,000-$79,999",3,Yes,College Prep,No,No,13,13,15,17,13,780,370,410,1.44,5,14,3,Strong,No reliable access,4-year college,17,15,19,17,15,870,410,460,1.710310064378005,9,19.416052291598906,6,Enrolled 4-year,Yes,1600,4,Probably,4,90,0.270310064378005,4,3
CYC2021024,2021,2022-07-21,18,12th,Native American,Female,Charlotte Catholic High School,Yes,"$25,000-$39,999",5,Yes,College Prep,No,N/A,25,27,27,24,28,1120,590,530,2.42,5,0,10,None,Good access,Community college,27,28,24,29,29,1210,670,540,2.9377755454475145,5,2.4818421702399904,10,Working,No,NA,4,Definitely,2,90,0.5177755454475146,0,0
CYC2021025,2021,2022-09-03,15,9th,Multiracial,Female,Independence High School,Yes,"$100,000+",5,Yes,College Prep,No,No,10,13,10,13,13,1080,490,590,1.71,1,7,8,Limited,Limited access,Work,11,10,8,13,12,1160,540,620,1.8496589354905133,4,13.264772897573652,8,Trade program,No,NA,3,Definitely,1,80,0.13965893549051334,3,0
CYC2021026,2021,2022-09-29,16,11th,Black or African American,Male,Hopewell High School,Yes,"$40,000-$59,999",4,Yes,Career Readiness,No,No,19,16,20,23,22,1140,540,600,1,4,14,3,Moderate,Good access,4-year college,22,23,21,21,22,1190,550,640,1,5,14.836173056263958,5,Enrolled 2-year,No,NA,3,Definitely,3,50,0,1,2
CYC2021029,2021,2022-07-07,14,9th,Black or African American,Female,West Charlotte High School,Yes,"Under $25,000",5,Yes,Career Readiness,No,No,15,15,15,16,18,1380,690,690,1.9,6,7,8,None,Limited access,4-year college,19,19,19,19,20,1430,790,640,2.6231551060280562,7,9.217452579097849,9,Enrolled 2-year,No,NA,4,Definitely,4,50,0.7231551060280563,1,1
CYC2021030,2021,2022-08-09,17,12th,White,Male,Julius Chambers High School,No,"Under $25,000",5,No,Career Readiness,Yes,No,19,16,17,19,18,780,380,400,2.58,6,15,4,None,Good access,Undecided,22,22,21,23,20,930,440,490,2.99358123645875,10,16.711039951094193,6,Enrolled 4-year,Yes,6600,5,Definitely,3,150,0.4135812364587501,4,2
CYC2021031,2021,2022-08-01,16,11th,Hispanic/Latino,Male,East Mecklenburg High School,Yes,"Under $25,000",2,Yes,Dual Track,Yes,No,17,14,17,15,19,940,420,520,2.09,4,12,5,Strong,Good access,4-year college,22,20,21,24,22,990,480,510,2.4292523144086493,5,17.600324643605678,6,Gap year,No,NA,4,Maybe,5,50,0.33925231440864945,1,1
CYC2021035,2021,2022-09-24,15,9th,Black or African American,Male,Vance High School,No,"$60,000-$79,999",3,Yes,College Prep,No,Yes,15,12,12,17,12,1150,570,580,1.5,5,6,8,None,Limited access,Community college,20,19,22,23,22,1240,650,590,1.8527144716893158,6,11.690318402238027,10,Enrolled 2-year,Yes,2600,4,Definitely,5,90,0.3527144716893158,1,2
CYC2021036,2021,2022-09-04,17,12th,Black or African American,Female,Charlotte Catholic High School,Yes,"Under $25,000",4,No,Dual Track,Yes,N/A,18,15,19,16,17,1020,550,470,2.73,10,10,1,Limited,Limited access,Work,20,22,18,22,21,1180,560,620,3.171038414432777,10,13.071587442828184,4,Trade program,Yes,2600,4,Probably,2,160,0.4410384144327768,0,3
CYC2021037,2021,2022-10-16,16,10th,White,Male,Ardrey Kell High School,Yes,"$60,000-$79,999",2,Yes,College Prep,No,No,22,21,24,23,21,730,390,340,3.3,8,14,4,Limited,Limited access,4-year college,23,23,23,23,23,840,430,410,4,9,18.57770378259791,6,Enrolled 4-year,Yes,10800,3,Probably,1,110,0.7000000000000002,1,2
CYC2021038,2021,2022-09-02,18,12th,Hispanic/Latino,Male,Garinger High School,No,"Under $25,000",4,No,Dual Track,No,N/A,24,22,24,22,27,700,380,320,1,2,3,2,None,No reliable access,4-year college,25,23,27,27,23,820,440,380,1.4515290023052572,3,5.977596001361514,5,Enrolled 4-year,Yes,5800,5,Probably,1,120,0.45152900230525717,1,3
CYC2021039,2021,2022-08-15,17,12th,Hispanic/Latino,Male,Garinger High School,No,"$25,000-$39,999",3,Yes,Intensive Support,No,No,12,9,12,15,10,890,470,420,2.18,10,6,4,Limited,Limited access,Community college,13,11,15,13,11,980,500,480,2.572131014189737,10,10.627283043019833,6,Enrolled 2-year,Yes,2000,5,Definitely,1,90,0.39213101418973695,0,2
CYC2021042,2021,2022-07-31,18,12th,Hispanic/Latino,Male,Julius Chambers High School,Yes,"Under $25,000",2,Yes,Career Readiness,Yes,No,18,18,14,21,18,1350,690,660,3.17,8,2,1,Limited,Limited access,Community college,23,25,25,25,24,1460,780,680,3.787116304357916,10,2.634166457233684,3,Military,No,NA,3,Definitely,5,110,0.617116304357916,2,2
CYC2021043,2021,2022-08-26,17,12th,Black or African American,Male,North Mecklenburg High School,No,"$25,000-$39,999",2,Yes,College Prep,No,Yes,18,16,17,17,17,1020,470,550,2.66,9,9,7,Limited,No reliable access,Community college,22,20,19,22,20,1080,540,540,2.810828419520099,10,8.43024800028415,9,Military,Yes,1400,3,Definitely,4,60,0.15082841952009884,1,2
CYC2021045,2021,2022-08-18,18,12th,Hispanic/Latino,Female,Julius Chambers High School,Yes,"$25,000-$39,999",5,Yes,Career Readiness,Yes,Yes,14,17,16,13,14,1270,670,600,2.9,7,4,5,Limited,Good access,Work,16,18,15,17,17,1310,670,640,3.2069469776821413,10,6.729085793655134,6,Enrolled 4-year,No,NA,4,Definitely,2,40,0.3069469776821414,3,1
CYC2021046,2021,2022-11-06,16,11th,Hispanic/Latino,Male,East Mecklenburg High School,Yes,"Under $25,000",4,Yes,Intensive Support,No,N/A,22,25,21,22,21,820,390,430,2.32,8,7,6,Limited,Good access,4-year college,25,27,23,23,25,980,530,450,2.9457808030940353,10,12.133226933566734,8,Working,No,NA,3,Definitely,3,160,0.6257808030940355,2,2
CYC2021047,2021,2022-10-03,16,10th,Hispanic/Latino,Female,South Mecklenburg High School,Yes,"$25,000-$39,999",3,No,College Prep,No,No,14,12,14,15,11,920,440,480,2.21,2,4,1,Limited,Limited access,Undecided,17,18,17,17,19,1030,500,530,2.274566043251377,2,8.304432968408307,5,Enrolled 2-year,No,NA,4,Definitely,3,110,0.06456604325137683,0,4
CYC2021048,2021,2022-09-26,17,12th,Black or African American,Female,East Mecklenburg High School,No,"Under $25,000",1,Yes,College Prep,Yes,No,16,14,12,17,18,1030,480,550,2.31,1,11,2,Limited,Good access,4-year college,21,19,21,21,23,1100,500,600,2.30933708913217,3,16.096435525932193,2,Other,Yes,14100,5,Definitely,5,70,-6.629108678302131e-4,2,0
CYC2021049,2021,2022-11-03,15,10th,Hispanic/Latino,Male,Rocky River High School,Yes,"$100,000+",6,Yes,Dual Track,No,No,27,25,29,29,25,670,300,370,1.6,6,8,2,Moderate,Limited access,Military,28,28,26,26,28,720,350,370,1.9924023306534573,8,8.252726721202851,3,Trade program,No,NA,5,Definitely,1,50,0.3924023306534572,2,1
CYC2021051,2021,2022-08-27,18,12th,Black or African American,Male,South Mecklenburg High School,No,"$40,000-$59,999",2,Yes,Dual Track,No,Yes,19,19,21,21,20,770,360,410,2.56,7,13,3,Moderate,No reliable access,Community college,22,23,20,22,21,800,380,420,3.1270959236933127,8,17.472186666727126,6,Enrolled 4-year,No,NA,5,Definitely,3,30,0.5670959236933126,1,3
CYC2021053,2021,2022-06-30,15,9th,White,Female,Vance High School,Yes,"$40,000-$59,999",1,No,College Prep,Yes,No,19,20,17,19,21,1070,570,500,2.46,3,7,2,Moderate,Limited access,Work,19,21,16,19,21,1140,580,560,3.1134875367777997,4,12.881439135086795,4,Enrolled 4-year,No,NA,4,Maybe,0,70,0.6534875367777997,1,2
CYC2021054,2021,2022-11-04,14,9th,White,Female,South Mecklenburg High School,No,"$25,000-$39,999",5,Yes,College Prep,No,No,18,19,20,16,17,1160,610,550,2.67,8,14,6,None,Limited access,Community college,21,21,21,21,19,1220,630,590,2.5335144419041957,10,15.87762140926032,10,Enrolled 4-year,Yes,1300,4,Probably,3,60,-0.1364855580958042,2,4
CYC2021055,2021,2022-08-15,17,12th,White,Female,Butler High School,Yes,"$60,000-$79,999",3,Yes,College Prep,No,N/A,16,16,17,19,19,720,350,370,1.67,1,12,1,Limited,Good access,4-year college,19,20,21,22,18,780,390,390,2.1750025710266,2,13.377840392777681,4,Enrolled 2-year,Yes,7100,4,Definitely,3,60,0.5050025710266,1,3
CYC2021057,2021,2022-07-17,17,12th,Multiracial,Male,Independence High School,No,"Under $25,000",6,Yes,Career Readiness,No,No,17,18,14,21,15,1150,530,620,1.88,7,3,3,Strong,No reliable access,4-year college,19,21,19,18,17,1340,700,640,2.668396244119317,9,7.8221927631572274,6,Trade program,Yes,7300,4,Definitely,2,190,0.7883962441193173,2,3
CYC2021058,2021,2022-07-18,16,11th,Hispanic/Latino,Male,Olympic High School,Yes,"Under $25,000",1,Yes,Intensive Support,Yes,N/A,22,24,19,26,20,560,300,260,3.55,2,0,4,None,No reliable access,Community college,26,26,25,24,28,580,310,270,3.8798953950140116,4,2.867511647819849,6,Enrolled 4-year,No,NA,5,Definitely,4,20,0.32989539501401177,2,2
CYC2021059,2021,2022-09-07,17,12th,Hispanic/Latino,Female,Olympic High School,Yes,"$25,000-$39,999",1,Yes,Career Readiness,Yes,Yes,20,17,22,23,18,850,440,410,1.05,10,4,4,Moderate,Limited access,Work,24,22,22,25,22,960,480,480,1.293335266238303,10,11.495894004850992,7,Trade program,No,NA,5,Definitely,4,110,0.24333526623830304,0,3
CYC2021060,2021,2022-09-12,18,12th,Black or African American,Female,West Charlotte High School,No,"$25,000-$39,999",4,Yes,College Prep,No,No,17,20,15,18,14,1050,490,560,1.94,5,2,6,Moderate,No reliable access,Work,20,19,22,20,18,1200,620,580,2.0511469389657897,6,5.0319004165131265,6,Enrolled 4-year,No,NA,5,Definitely,3,150,0.11114693896578975,1,0
CYC2021061,2021,2022-08-25,17,12th,Black or African American,Male,Independence High School,No,"Under $25,000",2,No,Dual Track,No,No,14,15,16,12,12,840,420,420,4,5,5,3,None,Good access,4-year college,16,18,13,16,17,930,480,450,4,8,12.640742807375595,7,Enrolled 2-year,No,NA,4,Definitely,2,90,0,3,4
CYC2021062,2021,2022-08-27,18,12th,White,Male,Hopewell High School,Yes,"$25,000-$39,999",3,Unknown,College Prep,Yes,No,13,12,15,11,16,1050,490,560,4,3,13,4,Limited,Limited access,4-year college,15,13,13,17,16,1150,600,550,4,5,14.606104862529682,5,Trade program,No,NA,4,Definitely,2,100,0,2,1
CYC2021063,2021,2022-09-12,18,12th,Hispanic/Latino,Female,Garinger High School,Yes,"$25,000-$39,999",5,Yes,Career Readiness,No,N/A,20,18,20,18,18,840,410,430,2.69,4,10,3,Strong,Good access,Community college,25,25,23,24,26,940,470,470,3.265038739239109,6,14.616154310769783,5,Working,No,NA,3,Definitely,5,100,0.5750387392391092,2,2
CYC2021064,2021,2022-09-13,14,9th,White,Male,Vance High School,Yes,"Under $25,000",6,Yes,Dual Track,Yes,No,14,15,12,16,11,860,420,440,1.54,4,11,3,Strong,Good access,Military,16,18,13,14,16,930,460,470,2.001523231014185,5,15.55791411906403,6,Enrolled 2-year,Yes,9000,4,Definitely,2,70,0.4615232310141848,1,3
CYC2021067,2021,2022-08-23,16,11th,White,Non-binary,Myers Park High School,Yes,"Under $25,000",3,Yes,Intensive Support,Yes,No,19,19,17,23,19,1120,550,570,1.79,1,10,5,Strong,Good access,Community college,22,23,21,22,23,1270,680,590,1.8734150024818268,2,13.529850152154403,9,Enrolled 2-year,No,NA,4,Probably Not,3,150,0.08341500248182676,1,4
CYC2021068,2021,2022-07-03,17,12th,Hispanic/Latino,Female,Charlotte Catholic High School,Yes,"$25,000-$39,999",4,Yes,College Prep,No,No,19,18,17,21,22,1050,530,520,2.46,2,13,3,Limited,Limited access,Trade school,21,22,21,20,22,1170,600,570,3.076950605228704,5,16.39078771449766,4,Enrolled 2-year,No,NA,4,Definitely,2,120,0.6169506052287042,3,1
CYC2021069,2021,2022-08-30,17,12th,Black or African American,Male,Providence High School,Yes,"$40,000-$59,999",4,Yes,Intensive Support,No,No,15,12,16,18,12,980,450,530,1.74,1,2,3,Limited,Limited access,4-year college,18,20,20,16,18,1000,520,480,2.0673038711953855,3,2.9788472682690594,4,Gap year,No,NA,3,Maybe,3,20,0.3273038711953855,2,1
CYC2021070,2021,2022-08-23,18,12th,Hispanic/Latino,Male,Garinger High School,Yes,"Under $25,000",2,Yes,Career Readiness,Yes,N/A,16,16,12,18,16,820,380,440,4,2,9,2,Limited,No reliable access,Community college,17,19,19,20,19,870,390,480,4,3,13.647246115276616,5,Enrolled 2-year,Yes,8100,4,Probably,1,50,0,1,3
CYC2021071,2021,2022-07-15,17,12th,Hispanic/Latino,Male,Mallard Creek High School,No,"Under $25,000",1,Yes,College Prep,No,No,19,17,16,17,20,1110,610,500,1,6,9,5,Limited,Limited access,4-year college,21,22,19,23,19,1200,550,650,1.361835100509229,10,13.747027683922429,6,Trade program,Yes,11200,5,Definitely,2,90,0.36183510050922907,4,1
CYC2021072,2021,2022-09-16,18,12th,Hispanic/Latino,Male,Mallard Creek High School,Yes,"Under $25,000",3,Yes,Career Readiness,No,N/A,19,22,19,23,22,950,460,490,1.53,3,6,6,Limited,Limited access,4-year college,21,20,22,23,21,1120,580,540,1.5310444678737558,4,9.217944639389744,9,Enrolled 4-year,No,NA,3,Definitely,2,170,0.0010444678737557833,1,3
CYC2021073,2021,2022-08-30,17,12th,Multiracial,Male,Charlotte Catholic High School,Yes,"Under $25,000",2,No,Dual Track,No,Yes,16,15,15,15,16,1210,580,630,2.21,8,1,4,Moderate,Good access,Work,18,20,19,19,18,1270,650,620,2.4250581031169864,8,3.817435591827573,5,Enrolled 4-year,Yes,4400,3,Definitely,2,60,0.21505810311698648,0,1
CYC2021074,2021,2022-10-23,16,11th,Multiracial,Male,Butler High School,Yes,"$60,000-$79,999",4,No,Career Readiness,Yes,No,14,14,12,15,17,970,510,460,3.34,3,19,4,None,Limited access,Community college,19,17,17,20,20,1010,530,480,3.742998580239191,5,22.568829620825383,6,Enrolled 4-year,No,NA,5,Definitely,5,40,0.4029985802391911,2,2
