participant_id,cohort_year,survey_date,age_at_enrollment,grade_level,race_ethnicity,gender,high_school,title_1_school,family_income_range,household_size,first_generation_college,program_track,transportation_barrier,childcare_needs,act_composite_pre,act_english_pre,act_math_pre,act_reading_pre,act_science_pre,sat_total_pre,sat_math_pre,sat_verbal_pre,gpa_pre,college_readiness_self_rating,study_hours_per_week,career_confidence_rating,academic_support_at_home,technology_access,post_secondary_plan
CYC2021001,2021,2021-10-19,17,12th,Black or African American,Female,North Mecklenburg High School,Yes,"$80,000-$99,999",2,Yes,Dual Track,No,Yes,16,19,16,20,16,670,310,360,3.27,4,12,2,Limited,Good access,4-year college
CYC2021002,2021,2021-09-30,18,12th,Black or African American,Male,Garinger High School,Yes,"$100,000+",5,Yes,Dual Track,Yes,N/A,16,14,15,14,18,1090,550,540,1.44,10,13,6,Limited,Good access,Community college
CYC2021003,2021,2021-09-12,15,10th,Black or African American,Male,Vance High School,Yes,"$25,000-$39,999",7,Yes,Intensive Support,No,Yes,17,17,14,17,14,910,450,460,2.44,5,6,4,Moderate,Limited access,Community college
CYC2021004,2021,2021-09-10,15,10th,Black or African American,Female,Olympic High School,Yes,"$25,000-$39,999",4,Yes,College Prep,Yes,No,13,16,9,12,15,1010,500,510,1.73,1,12,1,Limited,No reliable access,Community college
CYC2021005,2021,2021-09-26,18,12th,Hispanic/Latino,Male,Garinger High School,No,"$25,000-$39,999",6,Yes,Career Readiness,Yes,No,14,14,14,13,17,1140,590,550,2.68,3,0,2,None,Good access,Community college
CYC2021006,2021,2021-09-11,18,12th,Black or African American,Male,West Charlotte High School,No,"Under $25,000",3,Yes,Intensive Support,Yes,No,27,30,27,28,30,870,400,470,2.07,3,13,10,Moderate,Good access,4-year college
CYC2021007,2021,2021-10-01,17,11th,Asian,Non-binary,Julius Chambers High School,Yes,"Under $25,000",6,Yes,College Prep,Yes,No,17,17,19,20,17,1030,560,470,2.17,10,8,2,Limited,Good access,Community college
CYC2021008,2021,2021-10-21,18,12th,Hispanic/Latino,Male,West Charlotte High School,Yes,"$40,000-$59,999",7,No,College Prep,No,N/A,27,30,29,30,28,1020,480,540,2.46,8,0,5,Limited,Limited access,4-year college
CYC2021009,2021,2021-10-23,18,12th,Hispanic/Latino,Female,Independence High School,Yes,"$25,000-$39,999",3,Unknown,College Prep,No,No,16,18,13,20,17,900,450,450,3.04,5,14,9,Strong,Good access,Community college
CYC2021010,2021,2021-09-04,17,12th,Hispanic/Latino,Male,Vance High School,Yes,"$40,000-$59,999",3,Yes,College Prep,No,No,21,19,20,24,21,990,500,490,2.61,1,8,2,Strong,Limited access,4-year college
CYC2021011,2021,2021-10-03,16,11th,Black or African American,Female,Garinger High School,Yes,"$40,000-$59,999",3,Yes,Career Readiness,Yes,No,18,20,16,18,18,920,470,450,1.02,9,1,2,None,No reliable access,4-year college
CYC2021012,2021,2021-10-10,18,12th,White,Male,Harding University High School,Yes,"$40,000-$59,999",1,Yes,Career Readiness,No,No,18,18,19,16,19,910,450,460,2.51,5,8,2,Limited,No reliable access,Work
CYC2021013,2021,2021-09-14,17,12th,Black or African American,Male,Garinger High School,No,"Under $25,000",5,Yes,Career Readiness,No,Yes,19,18,21,18,21,920,500,420,3.01,10,4,1,None,Limited access,Trade school
CYC2021014,2021,2021-09-24,18,12th,Black or African American,Female,Charlotte Catholic High School,Yes,"$25,000-$39,999",7,Yes,Intensive Support,Yes,No,26,24,24,25,27,460,230,230,1.55,2,0,3,Limited,Limited access,Work
CYC2021015,2021,2021-09-06,15,10th,Hispanic/Latino,Female,Harding University High School,No,"Under $25,000",3,Yes,Career Readiness,No,N/A,10,7,12,9,13,1080,570,510,4,6,7,4,Moderate,No reliable access,Community college
CYC2021016,2021,2021-10-06,18,12th,Black or African American,Male,Butler High School,Yes,"$60,000-$79,999",7,Yes,College Prep,No,No,19,22,15,17,16,800,400,400,2.94,8,19,6,Moderate,Limited access,Community college
CYC2021017,2021,2021-10-14,16,10th,Black or African American,Female,Harding University High School,Yes,"$40,000-$59,999",6,Yes,Career Readiness,No,N/A,15,16,13,19,17,1130,520,610,1.27,7,0,2,Limited,Good access,Work
CYC2021018,2021,2021-10-02,16,11th,Black or African American,Female,Julius Chambers High School,Yes,"Under $25,000",3,Yes,Career Readiness,No,N/A,17,16,17,15,14,880,450,430,2.95,2,6,5,Moderate,Good access,Military
CYC2021019,2021,2021-10-11,18,12th,Black or African American,Female,Ardrey Kell High School,Yes,"$60,000-$79,999",2,Yes,Dual Track,No,N/A,16,19,13,16,16,980,500,480,1.54,6,0,8,Limited,Limited access,Military
CYC2021020,2021,2021-08-30,14,9th,White,Female,Garinger High School,No,"$25,000-$39,999",2,No,Career Readiness,No,No,16,14,15,17,17,1030,540,490,3.51,4,7,3,Limited,Limited access,4-year college
CYC2021021,2021,2021-10-15,15,9th,Multiracial,Female,North Mecklenburg High School,No,"$60,000-$79,999",5,Yes,College Prep,No,N/A,26,24,22,27,25,1140,560,580,1.18,9,11,3,Limited,Limited access,Military
CYC2021022,2021,2021-09-17,14,9th,Asian,Female,South Mecklenburg High School,No,"Under $25,000",1,Yes,College Prep,No,No,23,25,23,26,20,900,470,430,3.02,6,9,5,Limited,Good access,Trade school
CYC2021023,2021,2021-10-17,18,12th,Black or African American,Female,South Mecklenburg High School,No,"$60,000-$79,999",3,Yes,College Prep,No,No,13,13,15,17,13,780,370,410,1.44,5,14,3,Strong,No reliable access,4-year college
CYC2021024,2021,2021-09-21,18,12th,Native American,Female,Charlotte Catholic High School,Yes,"$25,000-$39,999",5,Yes,College Prep,No,N/A,25,27,27,24,28,1120,590,530,2.42,5,0,10,None,Good access,Community college
CYC2021025,2021,2021-10-14,15,9th,Multiracial,Female,Independence High School,Yes,"$100,000+",5,Yes,College Prep,No,No,10,13,10,13,13,1080,490,590,1.71,1,7,8,Limited,Limited access,Work
CYC2021026,2021,2021-09-23,16,11th,Black or African American,Male,Hopewell High School,Yes,"$40,000-$59,999",4,Yes,Career Readiness,No,No,19,16,20,23,22,1140,540,600,1,4,14,3,Moderate,Good access,4-year college
CYC2021027,2021,2021-09-30,16,11th,Black or African American,Female,Mallard Creek High School,No,"$40,000-$59,999",3,Yes,College Prep,No,Yes,22,20,21,22,20,1120,550,570,1.25,3,20,2,None,No reliable access,4-year college
CYC2021028,2021,2021-10-20,16,11th,Hispanic/Latino,Female,South Mecklenburg High School,No,"$25,000-$39,999",2,Yes,College Prep,Yes,N/A,12,14,10,16,13,1070,530,540,1.74,8,15,8,Strong,Limited access,Trade school
CYC2021029,2021,2021-09-08,14,9th,Black or African American,Female,West Charlotte High School,Yes,"Under $25,000",5,Yes,Career Readiness,No,No,15,15,15,16,18,1380,690,690,1.9,6,7,8,None,Limited access,4-year college
CYC2021030,2021,2021-08-28,17,12th,White,Male,Julius Chambers High School,No,"Under $25,000",5,No,Career Readiness,Yes,No,19,16,17,19,18,780,380,400,2.58,6,15,4,None,Good access,Undecided
CYC2021031,2021,2021-10-01,16,11th,Hispanic/Latino,Male,East Mecklenburg High School,Yes,"Under $25,000",2,Yes,Dual Track,Yes,No,17,14,17,15,19,940,420,520,2.09,4,12,5,Strong,Good access,4-year college
CYC2021032,2021,2021-08-18,17,12th,Hispanic/Latino,Female,Butler High School,Yes,"$40,000-$59,999",1,Yes,College Prep,No,No,19,17,18,21,19,840,400,440,2.57,3,10,1,Moderate,No reliable access,Community college
CYC2021033,2021,2021-10-14,15,10th,Black or African American,Female,Ardrey Kell High School,Yes,"Under $25,000",3,No,Career Readiness,Yes,No,25,22,26,28,22,1180,590,590,1,9,9,3,Moderate,Good access,4-year college
CYC2021034,2021,2021-09-15,17,12th,Black or African American,Female,Independence High School,Yes,"$40,000-$59,999",7,No,Career Readiness,No,No,23,21,19,23,21,980,530,450,2.55,4,1,6,Limited,Limited access,4-year college
CYC2021035,2021,2021-10-22,15,9th,Black or African American,Male,Vance High School,No,"$60,000-$79,999",3,Yes,College Prep,No,Yes,15,12,12,17,12,1150,570,580,1.5,5,6,8,None,Limited access,Community college
CYC2021036,2021,2021-08-29,17,12th,Black or African American,Female,Charlotte Catholic High School,Yes,"Under $25,000",4,No,Dual Track,Yes,N/A,18,15,19,16,17,1020,550,470,2.73,10,10,1,Limited,Limited access,Work
CYC2021037,2021,2021-09-30,16,10th,White,Male,Ardrey Kell High School,Yes,"$60,000-$79,999",2,Yes,College Prep,No,No,22,21,24,23,21,730,390,340,3.3,8,14,4,Limited,Limited access,4-year college
CYC2021038,2021,2021-09-29,18,12th,Hispanic/Latino,Male,Garinger High School,No,"Under $25,000",4,No,Dual Track,No,N/A,24,22,24,22,27,700,380,320,1,2,3,2,None,No reliable access,4-year college
CYC2021039,2021,2021-08-24,17,12th,Hispanic/Latino,Male,Garinger High School,No,"$25,000-$39,999",3,Yes,Intensive Support,No,No,12,9,12,15,10,890,470,420,2.18,10,6,4,Limited,Limited access,Community college
CYC2021040,2021,2021-10-12,17,12th,Hispanic/Latino,Female,Mallard Creek High School,Yes,"Under $25,000",5,Yes,College Prep,Yes,N/A,16,18,16,16,19,850,430,420,2.77,7,6,4,None,Good access,Community college
CYC2021041,2021,2021-10-05,14,9th,Black or African American,Female,Julius Chambers High School,No,"$60,000-$79,999",5,Yes,College Prep,Yes,No,24,21,22,27,24,1140,590,550,1.7,10,2,3,None,Good access,Trade school
CYC2021042,2021,2021-10-02,18,12th,Hispanic/Latino,Male,Julius Chambers High School,Yes,"Under $25,000",2,Yes,Career Readiness,Yes,No,18,18,14,21,18,1350,690,660,3.17,8,2,1,Limited,Limited access,Community college
