participant_id,cohort_year,session_week,session_date,session_type,attended,hours_participated,tutor_assigned
CYC2023001,2023,1,2023-09-16,Leadership,Present,2.5,TUTOR11
CYC2023001,2023,2,2023-09-23,Financial Literacy,Present,2.5,TUTOR07
CYC2023001,2023,3,2023-09-30,Test Prep,Absent,0,TUTOR07
CYC2023001,2023,4,2023-10-07,College Planning,Present,3,TUTOR04
CYC2023001,2023,5,2023-10-14,Leadership,Present,2,TUTOR03
CYC2023001,2023,6,2023-10-21,Leadership,Absent,0,TUTOR09
CYC2023001,2023,7,2023-10-28,College Planning,Excused,0,TUTOR06
CYC2023001,2023,8,2023-11-04,Test Prep,Present,2.5,TUTOR09
CYC2023001,2023,9,2023-11-11,College Planning,Present,3,TUTOR12
CYC2023001,2023,10,2023-11-18,College Planning,Present,2,TUTOR07
CYC2023001,2023,11,2023-11-25,Financial Literacy,Present,2,TUTOR06
CYC2023001,2023,12,2023-12-02,Tutoring,Present,2.5,TUTOR02
CYC2023001,2023,13,2023-12-09,Tutoring,Absent,0,TUTOR05
CYC2023001,2023,14,2023-12-16,Leadership,Present,3,TUTOR03
CYC2023001,2023,15,2023-12-23,College Planning,Present,2,TUTOR03
CYC2023001,2023,16,2023-12-30,College Planning,Absent,0,TUTOR02
CYC2023001,2023,17,2024-01-06,Test Prep,Absent,0,TUTOR03
CYC2023001,2023,18,2024-01-13,Financial Literacy,Present,2,TUTOR06
CYC2023001,2023,19,2024-01-20,Tutoring,Present,2.5,TUTOR01
CYC2023001,2023,20,2024-01-27,Tutoring,Present,1.5,TUTOR03
CYC2023001,2023,21,2024-02-03,Tutoring,Present,2,TUTOR11
CYC2023001,2023,22,2024-02-10,College Planning,Absent,0,TUTOR05
CYC2023001,2023,23,2024-02-17,College Planning,Present,1.5,TUTOR06
CYC2023001,2023,24,2024-02-24,Study Skills,Present,2,TUTOR10
CYC2023001,2023,25,2024-03-02,Tutoring,Present,3,TUTOR01
CYC2023001,2023,26,2024-03-09,Career Exploration,Present,1.5,TUTOR03
CYC2023001,2023,27,2024-03-16,Test Prep,Present,2,TUTOR03
CYC2023001,2023,28,2024-03-23,College Planning,Present,2,TUTOR08
CYC2023001,2023,29,2024-03-30,Tutoring,Present,2,TUTOR02
CYC2023001,2023,30,2024-04-06,Tutoring,Excused,0,TUTOR02
CYC2023002,2023,1,2023-09-22,Leadership,Absent,0,TUTOR05
CYC2023002,2023,2,2023-09-29,College Planning,Present,2.5,TUTOR10
CYC2023002,2023,3,2023-10-06,Leadership,Absent,0,TUTOR11
CYC2023002,2023,4,2023-10-13,Career Exploration,Present,2,TUTOR05
CYC2023002,2023,5,2023-10-20,Leadership,Present,2,TUTOR12
