participant_id,cohort_year,enrollment_date,age_at_enrollment,grade_level,race_ethnicity,gender,high_school,title_1_school,family_income_range,household_size,first_generation_college,program_track,transportation_barrier,childcare_needs
CYC2020001,2020,2020-09-11,15,9th,Black or African American,Female,Ardrey Kell High School,Yes,"$60,000-$79,999",7,Yes,Intensive Support,No,No
CYC2020002,2020,2020-10-07,18,12th,Hispanic/Latino,Female,Garinger High School,Yes,"Under $25,000",3,Yes,College Prep,No,No
CYC2020003,2020,2020-08-23,16,11th,Black or African American,Female,North Mecklenburg High School,No,"Under $25,000",1,Yes,College Prep,No,No
CYC2020004,2020,2020-09-05,16,11th,Black or African American,Female,Charlotte Catholic High School,No,"$60,000-$79,999",2,Yes,College Prep,No,No
CYC2020005,2020,2020-08-25,18,12th,Black or African American,Female,Independence High School,Yes,"$40,000-$59,999",4,Yes,College Prep,Yes,No
CYC2020006,2020,2020-09-13,17,11th,Black or African American,Male,Hopewell High School,Yes,"Under $25,000",4,Yes,Dual Track,No,No
CYC2020007,2020,2020-10-03,16,10th,Multiracial,Male,South Mecklenburg High School,Yes,"$25,000-$39,999",3,Yes,College Prep,Yes,No
CYC2020008,2020,2020-10-01,15,10th,Hispanic/Latino,Female,Charlotte Catholic High School,No,"$25,000-$39,999",1,No,Dual Track,Yes,No
CYC2020009,2020,2020-09-25,17,12th,Black or African American,Male,Garinger High School,Yes,"$25,000-$39,999",6,Yes,College Prep,No,No
CYC2020010,2020,2020-09-21,18,12th,Multiracial,Female,Hopewell High School,No,"Under $25,000",5,Yes,Career Readiness,No,No
CYC2020011,2020,2020-09-28,17,12th,Native American,Male,Independence High School,Yes,"Under $25,000",5,Yes,College Prep,No,No
CYC2020012,2020,2020-09-11,18,12th,White,Male,Hopewell High School,Yes,"$25,000-$39,999",5,No,Dual Track,No,No
CYC2020013,2020,2020-09-16,16,11th,Black or African American,Male,Harding University High School,Yes,"$100,000+",7,Yes,College Prep,No,No
CYC2020014,2020,2020-09-23,17,11th,Hispanic/Latino,Female,Butler High School,Yes,"$40,000-$59,999",5,Yes,Career Readiness,Yes,Yes
CYC2020015,2020,2020-08-28,17,12th,Native American,Female,Julius Chambers High School,No,"$40,000-$59,999",4,Yes,College Prep,Yes,No
CYC2020016,2020,2020-09-16,17,12th,Black or African American,Female,East Mecklenburg High School,Yes,"Under $25,000",4,Yes,College Prep,No,Yes
CYC2020017,2020,2020-10-03,15,10th,White,Male,Providence High School,No,"$25,000-$39,999",5,Yes,Career Readiness,No,No
CYC2020018,2020,2020-09-23,17,12th,Black or African American,Male,Providence High School,Yes,"$40,000-$59,999",5,Yes,Intensive Support,No,No
CYC2020019,2020,2020-09-10,18,12th,Hispanic/Latino,Female,Providence High School,Yes,"$40,000-$59,999",2,Unknown,Career Readiness,No,No
CYC2020020,2020,2020-09-09,16,11th,Hispanic/Latino,Male,Olympic High School,No,"$25,000-$39,999",4,No,Career Readiness,No,No
CYC2020021,2020,2020-10-11,17,12th,Black or African American,Female,Ardrey Kell High School,Yes,"$25,000-$39,999",1,No,Intensive Support,No,No
CYC2020022,2020,2020-09-20,15,10th,Multiracial,Male,Butler High School,Yes,"Under $25,000",4,No,Dual Track,Yes,No
CYC2020023,2020,2020-08-19,17,12th,Hispanic/Latino,Female,Rocky River High School,Yes,"$25,000-$39,999",3,Yes,Career Readiness,No,Yes
CYC2020024,2020,2020-09-08,15,10th,Hispanic/Latino,Female,South Mecklenburg High School,No,"Under $25,000",3,No,Career Readiness,Yes,No
CYC2020025,2020,2020-09-03,16,11th,Asian,Female,North Mecklenburg High School,No,"Under $25,000",4,Yes,Career Readiness,Yes,No
CYC2020026,2020,2020-08-15,15,10th,Black or African American,Male,Myers Park High School,No,"$25,000-$39,999",3,Yes,College Prep,Yes,N/A
CYC2020027,2020,2020-08-26,14,9th,Asian,Male,East Mecklenburg High School,Yes,"Under $25,000",4,Yes,College Prep,No,No
CYC2020028,2020,2020-08-19,16,10th,Asian,Male,Mallard Creek High School,Yes,"$25,000-$39,999",2,No,Intensive Support,No,N/A
CYC2020029,2020,2020-08-18,18,12th,White,Female,Myers Park High School,No,"$60,000-$79,999",2,Yes,Intensive Support,Yes,No
CYC2020030,2020,2020-08-15,14,9th,Black or African American,Female,West Charlotte High School,Yes,"Under $25,000",4,Unknown,Dual Track,Yes,N/A
