participant_id,cohort_year,survey_date,age_at_enrollment,grade_level,race_ethnicity,gender,high_school,title_1_school,family_income_range,household_size,first_generation_college,program_track,transportation_barrier,childcare_needs,act_composite_pre,act_english_pre,act_math_pre,act_reading_pre,act_science_pre,sat_total_pre,sat_math_pre,sat_verbal_pre,gpa_pre,college_readiness_self_rating,study_hours_per_week,career_confidence_rating,academic_support_at_home,technology_access,post_secondary_plan
CYC2022001,2022,2022-09-20,17,12th,Native American,Male,Vance High School,Yes,"$25,000-$39,999",2,Yes,College Prep,Yes,N/A,23,26,24,24,20,650,300,350,2.11,8,11,3,Strong,Limited access,Trade school
CYC2022002,2022,2022-09-29,16,10th,Asian,Male,Independence High School,No,"Under $25,000",4,Yes,Career Readiness,Yes,No,22,19,21,21,23,950,440,510,2.01,10,4,9,Limited,Good access,Community college
CYC2022003,2022,2022-08-31,18,12th,Hispanic/Latino,Male,Providence High School,No,"$60,000-$79,999",3,Yes,Career Readiness,No,No,15,13,15,15,15,960,440,520,3.7,6,4,5,None,No reliable access,Community college
CYC2022004,2022,2022-10-14,17,11th,Black or African American,Male,Garinger High School,No,"$40,000-$59,999",4,No,Career Readiness,No,No,25,28,21,29,22,1120,540,580,1.86,4,11,7,Limited,Good access,4-year college
CYC2022005,2022,2022-10-11,18,12th,Hispanic/Latino,Female,Garinger High School,Yes,"$60,000-$79,999",4,Yes,College Prep,Yes,No,18,16,18,19,19,1240,620,620,2.82,7,1,6,Limited,Limited access,4-year college
CYC2022006,2022,2022-09-18,17,12th,Native American,Female,Harding University High School,Yes,"$25,000-$39,999",2,Yes,College Prep,No,No,17,17,14,16,19,930,440,490,2.14,9,11,9,Strong,Good access,Trade school
CYC2022007,2022,2022-08-30,16,10th,Black or African American,Male,Garinger High School,Yes,"Under $25,000",5,Yes,College Prep,Yes,No,12,12,14,16,14,1240,640,600,2.64,2,1,1,Moderate,No reliable access,Community college
CYC2022008,2022,2022-09-25,18,12th,Black or African American,Female,Rocky River High School,No,"$60,000-$79,999",1,Yes,Career Readiness,No,No,28,28,24,27,28,710,360,350,2.01,8,11,7,Moderate,Good access,4-year college
CYC2022009,2022,2022-10-15,16,11th,Hispanic/Latino,Female,West Charlotte High School,No,"$25,000-$39,999",4,No,College Prep,Yes,N/A,19,16,19,20,20,840,450,390,1.24,8,8,3,Strong,Limited access,Community college
CYC2022010,2022,2022-10-10,17,11th,Hispanic/Latino,Male,Butler High School,Yes,"$40,000-$59,999",3,Yes,College Prep,No,No,10,9,9,8,8,990,460,530,1,5,8,8,Strong,Limited access,Community college
CYC2022011,2022,2022-09-26,16,11th,White,Male,Garinger High School,No,"$80,000-$99,999",4,Yes,College Prep,No,N/A,17,15,15,19,15,1100,500,600,2.98,6,12,1,Strong,No reliable access,Trade school
CYC2022012,2022,2022-08-22,17,12th,Asian,Female,Harding University High School,Yes,"Under $25,000",1,Yes,Intensive Support,Yes,No,17,16,14,21,18,900,440,460,4,10,9,9,Limited,Limited access,4-year college
CYC2022013,2022,2022-09-28,14,9th,Black or African American,Male,Garinger High School,No,"Under $25,000",4,No,Dual Track,No,No,21,18,21,21,24,770,410,360,1.87,2,11,6,None,Good access,Community college
CYC2022014,2022,2022-09-29,16,11th,Hispanic/Latino,Female,Charlotte Catholic High School,No,"$25,000-$39,999",5,Unknown,College Prep,Yes,N/A,16,15,12,14,18,1060,530,530,3.43,2,6,2,Strong,Good access,4-year college
CYC2022015,2022,2022-09-08,18,12th,Hispanic/Latino,Female,Hopewell High School,Yes,"Under $25,000",3,Yes,Dual Track,Yes,N/A,24,23,22,26,27,1100,570,530,2.11,5,9,4,Limited,No reliable access,Trade school
CYC2022016,2022,2022-09-03,15,9th,Black or African American,Female,Rocky River High School,Yes,"$25,000-$39,999",2,No,Career Readiness,Yes,Yes,23,21,21,26,25,890,430,460,2.15,1,7,1,Strong,Good access,Trade school
CYC2022017,2022,2022-09-18,16,11th,Black or African American,Male,Charlotte Catholic High School,Yes,"Under $25,000",3,No,Career Readiness,No,No,16,16,17,16,14,1050,550,500,2.4,8,7,3,None,Limited access,4-year college
CYC2022018,2022,2022-09-06,18,12th,Hispanic/Latino,Male,Mallard Creek High School,No,"$40,000-$59,999",6,No,College Prep,No,No,17,15,15,18,19,1050,560,490,3.53,10,17,7,Strong,No reliable access,4-year college
CYC2022019,2022,2022-10-11,15,10th,Black or African American,Female,Providence High School,Yes,"$100,000+",5,Yes,Career Readiness,No,No,22,23,24,22,22,910,490,420,1.54,2,0,4,Limited,Good access,Community college
CYC2022020,2022,2022-09-28,18,12th,White,Male,Mallard Creek High School,Yes,"$40,000-$59,999",3,Yes,Career Readiness,No,No,17,17,17,20,15,920,490,430,3.75,6,13,5,None,Limited access,4-year college
CYC2022021,2022,2022-10-17,15,10th,Black or African American,Female,Rocky River High School,Yes,"$25,000-$39,999",5,No,Intensive Support,No,No,25,22,26,27,22,900,470,430,2.92,4,6,4,Limited,Limited access,Trade school
CYC2022022,2022,2022-09-29,16,10th,White,Male,Butler High School,Yes,"$25,000-$39,999",3,Yes,Career Readiness,No,No,18,19,17,21,18,890,460,430,3.34,9,10,2,None,No reliable access,4-year college
CYC2022023,2022,2022-09-21,16,11th,White,Female,Charlotte Catholic High School,No,"$25,000-$39,999",3,Yes,Dual Track,No,No,17,19,19,16,19,750,380,370,1.26,5,1,5,None,Limited access,4-year college
CYC2022024,2022,2022-10-06,16,11th,Multiracial,Male,Julius Chambers High School,Yes,"Under $25,000",2,Yes,Dual Track,Yes,Yes,13,11,12,17,16,980,460,520,2.17,1,2,6,Strong,Good access,4-year college
CYC2022025,2022,2022-09-05,17,12th,White,Male,Harding University High School,Yes,"$40,000-$59,999",2,No,College Prep,Yes,N/A,24,23,23,28,25,1030,530,500,1.86,8,4,6,Strong,Limited access,4-year college
CYC2022026,2022,2022-08-31,17,12th,Native American,Female,Julius Chambers High School,No,"$60,000-$79,999",6,Yes,Dual Track,Yes,No,24,21,26,27,23,770,370,400,2.25,3,13,2,Strong,No reliable access,Military
CYC2022027,2022,2022-09-09,16,11th,Hispanic/Latino,Male,Garinger High School,Yes,"Under $25,000",5,No,Career Readiness,Yes,No,14,12,10,17,15,670,310,360,3,5,4,2,None,Limited access,Military
CYC2022028,2022,2022-10-28,16,11th,Hispanic/Latino,Male,Mallard Creek High School,Yes,"$40,000-$59,999",4,No,Dual Track,No,No,20,23,20,23,18,890,470,420,1.21,7,4,6,Limited,No reliable access,4-year college
CYC2022029,2022,2022-09-21,15,9th,Asian,Female,Olympic High School,Yes,"$60,000-$79,999",3,No,Dual Track,No,No,20,20,20,19,17,1350,620,730,1.34,6,8,4,Limited,Limited access,Community college
