participant_id,cohort_year,session_week,session_date,session_type,attended,hours_participated,tutor_assigned
CYC2019001,2019,1,2019-08-15,Tutoring,Present,1.5,TUTOR09
CYC2019001,2019,2,2019-08-22,Financial Literacy,Present,2,TUTOR09
CYC2019001,2019,3,2019-08-29,Tutoring,Present,2.5,TUTOR02
CYC2019001,2019,4,2019-09-05,College Planning,Present,1.5,TUTOR08
CYC2019001,2019,5,2019-09-12,College Planning,Present,2.5,TUTOR10
CYC2019001,2019,6,2019-09-19,Test Prep,Excused,0,TUTOR12
CYC2019001,2019,7,2019-09-26,Financial Literacy,Present,3,TUTOR02
CYC2019001,2019,8,2019-10-03,Leadership,Present,2,TUTOR12
CYC2019001,2019,9,2019-10-10,Test Prep,Absent,0,TUTOR08
CYC2019001,2019,10,2019-10-17,Study Skills,Excused,0,TUTOR12
CYC2019001,2019,11,2019-10-24,College Planning,Present,2.5,TUTOR09
CYC2019001,2019,12,2019-10-31,Financial Literacy,Present,2,TUTOR12
CYC2019001,2019,13,2019-11-07,Test Prep,Present,2,TUTOR03
CYC2019001,2019,14,2019-11-14,Career Exploration,Present,2,TUTOR04
CYC2019001,2019,15,2019-11-21,Career Exploration,Present,1.5,TUTOR10
CYC2019001,2019,16,2019-11-28,Study Skills,Present,2,TUTOR07
CYC2019001,2019,17,2019-12-05,Leadership,Present,2,TUTOR04
CYC2019001,2019,18,2019-12-12,Leadership,Present,2.5,TUTOR04
CYC2019001,2019,19,2019-12-19,College Planning,Present,2.5,TUTOR08
CYC2019001,2019,20,2019-12-26,Test Prep,Present,2.5,TUTOR11
CYC2019001,2019,21,2020-01-02,Study Skills,Present,2.5,TUTOR09
CYC2019001,2019,22,2020-01-09,Financial Literacy,Absent,0,TUTOR01
CYC2019001,2019,23,2020-01-16,Test Prep,Present,2.5,TUTOR12
CYC2019001,2019,24,2020-01-23,Test Prep,Present,2,TUTOR08
CYC2019001,2019,25,2020-01-30,Tutoring,Present,2,TUTOR04
CYC2019001,2019,26,2020-02-06,Leadership,Absent,0,TUTOR10
CYC2019001,2019,27,2020-02-13,College Planning,Absent,0,TUTOR06
CYC2019001,2019,28,2020-02-20,Leadership,Present,2.5,TUTOR10
CYC2019001,2019,29,2020-02-27,College Planning,Present,2,TUTOR08
CYC2019001,2019,30,2020-03-05,Tutoring,Absent,0,TUTOR05
CYC2019001,2019,31,2020-03-12,Study Skills,Present,2.5,TUTOR10
CYC2019001,2019,32,2020-03-19,Test Prep,Absent,0,TUTOR12
CYC2019002,2019,1,2019-09-08,Career Exploration,Present,3,TUTOR02
CYC2019002,2019,2,2019-09-15,Career Exploration,Present,2.5,TUTOR06
CYC2019002,2019,3,2019-09-22,Tutoring,Absent,0,TUTOR08
CYC2019002,2019,4,2019-09-29,Financial Literacy,Present,2,TUTOR06
CYC2019002,2019,5,2019-10-06,Leadership,Present,3,TUTOR01
CYC2019002,2019,6,2019-10-13,Financial Literacy,Present,1.5,TUTOR07
CYC2019002,2019,7,2019-10-20,Financial Literacy,Present,2,TUTOR03
CYC2019002,2019,8,2019-10-27,Test Prep,Excused,0,TUTOR07
CYC2019002,2019,9,2019-11-03,College Planning,Present,3,TUTOR06
CYC2019002,2019,10,2019-11-10,College Planning,Absent,0,TUTOR08
CYC2019002,2019,11,2019-11-17,Leadership,Present,3,TUTOR05
CYC2019002,2019,12,2019-11-24,Leadership,Present,2.5,TUTOR01
CYC2019002,2019,13,2019-12-01,Leadership,Excused,0,TUTOR05
CYC2019002,2019,14,2019-12-08,Career Exploration,Absent,0,TUTOR04
CYC2019002,2019,15,2019-12-15,Career Exploration,Present,2.5,TUTOR12
CYC2019002,2019,16,2019-12-22,College Planning,Present,2,TUTOR01
CYC2019002,2019,17,2019-12-29,Career Exploration,Present,2,TUTOR09
CYC2019002,2019,18,2020-01-05,Financial Literacy,Present,1.5,TUTOR06
CYC2019002,2019,19,2020-01-12,Leadership,Absent,0,TUTOR07
CYC2019002,2019,20,2020-01-19,Financial Literacy,Excused,0,TUTOR03
CYC2019002,2019,21,2020-01-26,Financial Literacy,Present,2,TUTOR06
CYC2019002,2019,22,2020-02-02,Tutoring,Absent,0,TUTOR04
CYC2019002,2019,23,2020-02-09,Leadership,Present,3,TUTOR03
CYC2019002,2019,24,2020-02-16,College Planning,Present,2,TUTOR10
CYC2019002,2019,25,2020-02-23,Tutoring,Present,2,TUTOR02
CYC2019002,2019,26,2020-03-01,Study Skills,Present,2,TUTOR12
CYC2019002,2019,27,2020-03-08,Tutoring,Present,2,TUTOR12
CYC2019002,2019,28,2020-03-15,Test Prep,Absent,0,TUTOR03
CYC2019002,2019,29,2020-03-22,College Planning,Absent,0,TUTOR04
CYC2019002,2019,30,2020-03-29,Test Prep,Present,1.5,TUTOR10
CYC2019002,2019,31,2020-04-05,Career Exploration,Present,2,TUTOR11
CYC2019002,2019,32,2020-04-12,Study Skills,Excused,0,TUTOR10
CYC2019002,2019,33,2020-04-19,Career Exploration,Present,2,TUTOR11
CYC2019003,2019,1,2019-08-24,Tutoring,Present,2.5,TUTOR04
CYC2019003,2019,2,2019-08-31,Test Prep,Present,2,TUTOR08
CYC2019003,2019,3,2019-09-07,Financial Literacy,Present,2.5,TUTOR01
CYC2019003,2019,4,2019-09-14,Test Prep,Absent,0,TUTOR07
CYC2019003,2019,5,2019-09-21,Study Skills,Absent,0,TUTOR08
CYC2019003,2019,6,2019-09-28,Test Prep,Present,2,TUTOR12
CYC2019003,2019,7,2019-10-05,Tutoring,Present,2,TUTOR09
CYC2019003,2019,8,2019-10-12,Career Exploration,Present,2,TUTOR06
CYC2019003,2019,9,2019-10-19,Tutoring,Present,2.5,TUTOR06
CYC2019003,2019,10,2019-10-26,College Planning,Absent,0,TUTOR03
CYC2019003,2019,11,2019-11-02,College Planning,Present,1.5,TUTOR01
CYC2019003,2019,12,2019-11-09,Study Skills,Present,1.5,TUTOR07
